communication_diff,emotional_openness_diff,social_nature_diff,independence_diff,family_orientation_diff,financial_attitude_diff,career_orientation_diff,adventure_diff,conflict_handling_diff,lifestyle_preference_diff,comm_x_conflict_diff,finance_x_career_diff,family_x_lifestyle_diff,mean_abs_diff,max_abs_diff,euclidean_distance,compatibility_score
18.23,28.45,11.4,5.77,26.7,15.64,32.33,4.46,21.48,23.32,3.92,5.06,6.23,18.78,32.33,65.82,80.88
0.05,0.54,15.12,2.88,7.83,1.53,1.55,20.04,0.99,5.12,0.0,0.02,0.4,5.56,20.04,27.05,91.43
18.41,5.64,13.94,6.52,1.76,19.53,3.35,7.55,16.83,22.07,3.1,0.65,0.39,11.56,22.07,42.79,86.31
23.05,16.06,9.14,3.03,27.86,9.22,9.06,20.94,7.91,27.04,1.82,0.84,7.53,15.33,27.86,55.29,83.33
18.08,32.81,45.61,37.27,36.94,20.52,0.01,46.45,23.65,25.8,4.28,0.0,9.53,28.71,46.45,100.21,71.4
3.81,5.0,8.0,24.86,11.89,8.67,3.46,4.64,20.14,10.86,0.77,0.3,1.29,10.13,24.86,38.67,88.78
18.98,22.35,15.19,16.61,24.81,30.34,11.29,28.6,0.53,29.26,0.1,3.43,7.26,19.8,30.34,68.59,78.88
20.61,23.12,18.92,14.91,12.54,33.66,22.2,34.3,3.86,29.49,0.8,7.47,3.7,21.36,34.3,73.37,80.62
18.15,6.98,13.77,28.56,45.13,31.21,9.39,47.25,4.38,0.48,0.79,2.93,0.22,20.53,47.25,82.07,80.23
23.78,27.11,2.7,6.94,16.57,8.53,26.38,32.13,27.05,18.17,6.43,2.25,3.01,18.94,32.13,67.03,79.98
16.7,8.47,11.44,13.53,6.32,4.11,22.71,25.68,7.52,17.65,1.26,0.93,1.12,13.41,25.68,47.58,87.45
18.57,31.63,12.71,3.51,23.77,14.02,19.07,28.48,6.47,0.26,1.2,2.67,0.06,15.85,31.63,59.14,84.71
0.02,29.27,5.16,67.08,12.62,34.68,35.08,9.15,11.76,5.63,0.0,12.17,0.71,21.05,67.08,90.72,80.5
11.07,6.04,36.09,11.91,4.95,11.09,10.08,7.43,14.49,22.08,1.6,1.12,1.09,13.52,36.09,51.05,83.77
8.2,27.68,14.16,36.75,13.51,10.17,10.65,4.15,6.84,2.05,0.56,1.08,0.28,13.41,36.75,53.4,88.83
13.9,6.52,0.93,2.25,12.25,13.88,43.79,19.28,7.99,18.11,1.11,6.08,2.22,13.89,43.79,57.14,87.66
7.39,26.6,7.81,9.71,35.29,21.2,0.86,7.12,13.44,20.14,0.99,0.18,7.11,14.96,35.29,57.01,82.52
20.8,3.39,0.34,5.53,7.92,20.26,5.52,17.82,8.73,39.7,1.82,1.12,3.14,13.0,39.7,54.3,82.36
36.78,43.52,7.88,32.54,1.92,9.92,0.65,17.58,13.2,24.62,4.85,0.06,0.47,18.86,43.52,74.56,81.88
3.96,4.82,1.44,10.63,21.01,9.12,14.39,7.05,29.87,5.2,1.18,1.31,1.09,10.75,29.87,43.07,87.1
21.13,3.81,9.23,5.59,25.23,21.24,24.26,21.37,5.86,38.21,1.24,5.15,9.64,17.59,38.21,64.85,84.88
27.29,0.22,8.2,6.95,5.66,22.29,37.41,29.37,16.45,15.91,4.49,8.34,0.9,16.98,37.41,64.62,81.2
3.8,4.87,18.63,18.22,4.34,10.63,19.06,54.9,14.2,0.43,0.54,2.03,0.02,14.91,54.9,66.54,87.58
5.94,22.5,20.46,13.99,50.87,23.83,25.12,12.77,27.81,36.09,1.65,5.99,18.36,23.94,50.87,84.75,72.58
34.34,19.33,21.17,3.64,32.16,23.95,4.01,0.18,34.47,33.08,11.84,0.96,10.64,20.63,34.47,76.95,73.48
18.59,1.46,34.41,7.41,8.61,10.33,5.26,28.54,9.48,37.34,1.76,0.54,3.21,16.14,37.34,63.98,86.74
21.56,1.01,16.11,0.84,15.33,2.41,22.2,6.91,0.01,14.22,0.0,0.54,2.18,10.06,22.2,41.35,88.97
16.21,7.73,1.72,7.72,5.64,4.51,7.29,39.78,23.43,40.1,3.8,0.33,2.26,15.41,40.1,65.04,83.87
9.95,34.73,22.45,5.59,1.8,32.67,27.47,8.2,17.8,57.77,1.77,8.97,1.04,21.84,57.77,85.95,75.84
20.33,4.62,5.41,13.17,14.79,16.0,7.8,4.7,4.11,24.96,0.84,1.25,3.69,11.59,24.96,42.84,92.25
3.46,6.39,2.23,18.55,17.34,32.41,13.44,30.7,29.92,29.74,1.04,4.36,5.16,18.42,32.41,68.23,80.02
17.66,34.61,2.74,12.15,32.2,5.82,16.45,12.83,28.89,39.35,5.1,0.96,12.67,20.27,39.35,74.52,75.7
4.43,9.22,4.75,23.85,10.13,3.93,28.06,17.62,3.94,19.45,0.17,1.1,1.97,12.54,28.06,48.02,88.97
16.93,17.18,26.76,0.82,5.58,28.51,18.5,14.68,7.82,7.71,1.32,5.27,0.43,14.45,28.51,53.11,86.59
25.82,7.5,1.72,28.47,19.27,38.89,7.43,8.48,17.28,45.66,4.46,2.89,8.8,20.05,45.66,77.02,75.45
18.91,7.19,3.98,9.74,11.26,6.15,45.44,27.41,27.13,19.5,5.13,2.79,2.2,17.67,45.44,67.94,81.16
3.46,38.08,1.62,32.76,9.85,7.01,8.37,41.33,8.8,5.97,0.3,0.59,0.59,15.72,41.33,67.64,85.49
8.3,11.23,6.16,21.28,2.57,2.23,2.61,42.07,15.25,55.93,1.27,0.06,1.44,16.76,55.93,76.39,80.71
8.96,30.04,6.83,45.62,0.12,24.71,19.59,22.28,13.2,50.46,1.18,4.84,0.06,22.18,50.46,85.57,81.15
25.78,8.45,8.67,6.77,21.82,11.13,27.88,14.3,16.63,13.9,4.29,3.1,3.03,15.53,27.88,53.93,83.98
2.01,16.32,16.9,26.61,19.16,5.53,26.31,14.4,43.33,15.19,0.87,1.45,2.91,18.58,43.33,68.33,82.92
4.69,9.68,13.97,17.88,35.98,14.45,20.75,13.34,17.98,28.51,0.84,3.0,10.26,17.72,35.98,62.28,84.71
0.61,16.91,38.87,1.33,18.5,10.52,20.47,26.59,5.65,0.16,0.03,2.15,0.03,13.96,38.87,58.4,88.81
16.95,0.6,27.4,23.38,14.99,34.01,25.72,20.01,7.3,15.63,1.24,8.75,2.34,18.6,34.01,65.77,82.57
10.14,9.87,34.72,28.48,7.67,26.21,17.13,10.45,1.97,21.14,0.2,4.49,1.62,16.78,34.72,61.78,86.37
30.94,11.13,6.92,24.34,26.95,15.06,13.32,32.6,8.98,12.16,2.78,2.01,3.28,18.24,32.6,64.37,80.21
11.06,22.28,1.52,12.83,12.91,19.85,21.88,52.85,10.41,13.44,1.15,4.34,1.74,17.9,52.85,70.05,78.15
13.36,32.15,7.65,11.28,3.99,12.4,6.51,19.66,18.4,3.38,2.46,0.81,0.13,12.88,32.15,48.44,82.5
17.3,9.5,6.04,3.94,9.38,4.63,25.16,13.96,8.95,5.14,1.55,1.16,0.48,10.4,25.16,38.53,90.08
11.89,5.36,34.15,3.7,5.2,27.98,16.16,44.62,0.71,21.56,0.08,4.52,1.12,17.13,44.62,69.84,85.8
5.36,29.61,1.24,32.52,8.19,30.48,18.46,11.93,17.33,10.38,0.93,5.63,0.85,16.55,32.52,62.06,82.32
43.0,11.06,19.83,15.93,4.49,9.75,16.2,39.33,29.13,27.86,12.53,1.58,1.25,21.66,43.0,78.53,77.16
2.76,17.5,7.03,7.69,21.81,28.25,8.09,16.02,0.56,23.96,0.02,2.29,5.23,13.37,28.25,50.92,83.68
20.15,7.58,33.94,2.34,20.7,9.57,25.79,14.54,3.93,4.22,0.79,2.47,0.87,14.28,33.94,55.24,86.42
0.0,6.55,37.34,6.76,24.74,15.91,20.55,24.32,19.14,14.52,0.0,3.27,3.59,16.98,37.34,62.76,84.98
23.42,26.65,14.25,27.88,20.31,16.63,3.05,25.0,5.67,1.76,1.33,0.51,0.36,16.46,27.88,59.98,84.74
8.88,17.68,45.55,27.94,35.26,1.6,32.21,10.2,34.38,0.49,3.05,0.52,0.17,21.42,45.55,82.57,78.4
38.16,1.65,48.89,1.63,0.97,3.67,39.62,21.97,0.19,4.58,0.07,1.45,0.04,16.13,48.89,77.07,83.55
32.12,9.96,1.63,16.73,38.59,7.2,0.99,29.49,28.83,18.73,9.26,0.07,7.23,18.43,38.59,70.76,78.53
9.81,25.58,52.19,17.36,43.27,28.41,14.61,36.51,18.18,34.27,1.78,4.15,14.83,28.02,52.19,97.5,73.7
4.49,2.25,26.32,10.3,9.86,33.94,18.09,3.21,13.41,0.72,0.6,6.14,0.07,12.26,33.94,50.9,87.75
17.56,24.35,18.93,2.37,48.5,0.33,38.18,48.39,25.27,21.37,4.44,0.13,10.36,24.53,48.5,92.26,76.86
24.16,24.95,38.93,18.84,32.7,28.46,16.64,2.57,29.36,30.63,7.09,4.74,10.02,24.72,38.93,83.9,73.26
9.36,1.99,9.03,39.24,4.63,2.99,11.53,3.89,7.04,9.59,0.66,0.34,0.44,9.93,39.24,45.09,92.4
7.96,0.85,27.91,5.74,36.13,24.15,5.56,8.51,9.56,0.64,0.76,1.34,0.23,12.7,36.13,54.4,83.58
1.73,8.98,15.43,45.64,23.43,0.21,11.57,2.73,3.58,15.49,0.06,0.02,3.63,12.88,45.64,57.86,91.3
18.99,24.54,3.84,13.95,17.11,12.3,9.84,4.2,18.47,7.62,3.51,1.21,1.3,13.09,24.54,46.15,85.42
15.51,11.57,2.24,4.76,14.2,10.99,15.47,26.95,2.4,6.21,0.37,1.7,0.88,11.03,26.95,41.65,86.44
4.41,17.23,19.71,23.9,7.07,10.74,3.99,16.36,10.47,24.96,0.46,0.43,1.76,13.88,24.96,49.58,84.37
12.08,5.91,15.45,20.96,18.88,34.41,17.74,42.4,9.7,25.61,1.17,6.1,4.84,20.31,42.4,72.54,80.97
19.15,1.71,26.29,3.53,1.48,23.89,15.34,44.72,18.03,58.83,3.45,3.66,0.87,21.3,58.83,87.56,77.73
16.66,29.83,32.89,18.5,18.74,14.97,16.9,32.67,3.38,21.09,0.56,2.53,3.95,20.56,32.89,70.53,80.92
13.24,4.21,46.24,22.64,25.21,15.6,18.34,9.83,13.25,5.68,1.75,2.86,1.43,17.42,46.24,66.05,83.84
17.64,19.63,39.0,32.74,37.29,0.76,29.38,75.15,15.9,16.45,2.8,0.22,6.13,28.39,75.15,108.24,74.99
8.7,4.51,1.62,11.88,15.74,8.74,10.53,40.55,3.8,25.17,0.33,0.92,3.96,13.13,40.55,54.48,90.93
9.87,13.58,1.35,32.79,6.14,29.64,7.65,48.33,24.3,9.41,2.4,2.27,0.58,18.31,48.33,73.13,83.14
5.44,14.22,11.61,29.61,66.0,23.63,13.54,52.6,6.61,6.05,0.36,3.2,3.99,22.93,66.0,95.85,77.57
25.32,12.46,21.9,25.36,16.41,12.97,0.5,20.25,1.01,1.52,0.26,0.06,0.25,13.77,25.36,52.63,87.61
1.15,30.79,2.94,40.74,3.51,13.46,11.09,33.81,1.07,29.71,0.01,1.49,1.04,16.83,40.74,70.43,89.78
4.66,2.4,57.79,2.93,19.7,36.82,3.54,10.12,21.5,33.8,1.0,1.3,6.66,19.33,57.79,82.7,79.72
11.39,7.26,11.69,18.15,18.81,14.76,23.92,16.46,1.76,31.34,0.2,3.53,5.9,15.55,31.34,55.21,82.18
17.56,1.79,1.28,2.54,14.73,0.91,3.67,22.8,2.45,47.33,0.43,0.03,6.97,11.5,47.33,57.59,85.03
10.71,11.29,46.37,17.25,66.31,44.58,14.81,43.85,1.41,30.09,0.15,6.6,19.95,28.67,66.31,110.11,73.84
28.07,26.13,33.69,3.8,34.85,13.37,3.61,22.84,45.26,6.77,12.7,0.48,2.36,21.84,45.26,81.51,73.77
20.01,1.39,4.08,33.02,23.39,0.78,9.3,21.45,14.39,19.64,2.88,0.07,4.59,14.74,33.02,56.53,89.26
6.0,12.46,4.85,33.2,32.21,10.93,5.26,31.61,12.8,46.94,0.77,0.57,15.12,19.63,46.94,76.6,82.45
10.94,22.72,18.12,11.4,12.36,30.78,36.57,28.29,2.98,21.89,0.33,11.26,2.71,19.6,36.57,69.43,86.78
5.9,44.3,14.1,21.77,13.8,18.89,33.43,0.49,0.12,13.18,0.01,6.31,1.82,16.6,44.3,67.15,83.32
6.29,10.09,6.43,0.55,18.51,9.3,3.64,19.12,2.47,20.31,0.16,0.34,3.76,9.67,20.31,37.54,92.82
15.6,19.48,20.73,24.75,13.72,37.63,6.56,30.61,11.15,9.47,1.74,2.47,1.3,18.97,37.63,66.81,79.37
13.27,20.39,25.63,1.4,22.97,2.2,2.96,23.58,9.36,21.04,1.24,0.07,4.83,14.28,25.63,53.65,87.03
21.73,25.76,11.11,29.62,16.31,41.02,9.62,23.72,6.57,32.64,1.43,3.95,5.32,21.81,41.02,76.48,75.52
27.92,4.23,2.93,3.42,36.28,8.37,11.67,2.72,7.0,19.92,1.95,0.98,7.23,12.45,36.28,52.85,83.67
7.38,3.52,19.21,0.0,26.88,16.2,6.39,6.71,21.77,7.46,1.61,1.04,2.01,11.55,26.88,45.13,88.15
11.62,14.0,28.53,33.03,15.32,39.03,9.3,61.5,16.04,3.48,1.86,3.63,0.53,23.19,61.5,90.18,82.33
17.37,8.39,6.85,1.94,18.76,3.75,28.87,12.54,6.89,14.51,1.2,1.08,2.72,11.99,28.87,45.13,86.33
5.94,2.08,10.59,3.47,23.8,19.28,2.1,6.46,18.79,10.5,1.12,0.4,2.5,10.3,23.8,40.14,86.37
6.03,15.02,20.03,44.66,0.64,43.01,14.81,20.51,12.41,3.47,0.75,6.37,0.02,18.06,44.66,72.89,81.49
11.25,13.46,10.22,4.92,10.81,0.15,4.02,9.46,5.86,1.89,0.66,0.01,0.2,7.2,13.46,26.4,95.68
4.84,10.15,2.54,9.5,7.72,10.52,47.74,1.44,17.83,14.99,0.86,5.02,1.16,12.73,47.74,56.72,84.7
16.75,18.48,12.67,22.16,9.65,0.08,23.17,13.39,4.76,0.59,0.8,0.02,0.06,12.17,23.17,45.88,90.97
28.88,24.27,17.38,22.2,9.84,6.29,19.76,6.15,3.58,10.84,1.03,1.24,1.07,14.92,28.88,53.97,85.4
13.41,3.05,23.66,35.81,8.74,8.61,22.27,40.95,1.25,33.84,0.17,1.92,2.96,19.16,40.95,74.18,85.36
11.94,0.83,6.7,19.5,20.97,3.19,20.33,3.19,29.36,33.88,3.51,0.65,7.1,14.99,33.88,58.75,79.68
14.68,26.7,34.99,1.41,7.18,9.98,15.12,1.71,5.18,6.94,0.76,1.51,0.5,12.39,34.99,51.11,90.19
19.01,14.7,16.28,35.71,53.57,10.64,25.65,0.84,7.28,19.08,1.38,2.73,10.22,20.27,53.57,78.59,80.12
17.25,16.88,20.57,38.89,31.96,22.4,41.3,37.64,31.81,26.51,5.49,9.25,8.47,28.52,41.3,94.22,74.44
17.19,29.59,15.32,24.15,9.58,28.69,30.86,6.83,19.78,6.16,3.4,8.85,0.59,18.82,30.86,65.82,80.11
13.71,8.38,10.92,28.06,6.35,3.83,0.1,26.85,7.2,18.69,0.99,0.0,1.19,12.41,28.06,48.4,87.54
4.84,23.95,10.94,4.55,30.32,14.49,20.14,4.56,18.48,41.94,0.89,2.92,12.72,17.42,41.94,66.29,79.17
18.85,12.01,50.85,30.02,30.65,21.7,8.45,29.9,13.42,27.37,2.53,1.83,8.39,24.32,50.85,85.39,75.08
17.26,3.63,5.96,14.23,25.18,4.3,9.17,39.16,13.23,30.29,2.28,0.39,7.63,16.24,39.16,62.55,89.84
2.67,0.47,43.79,2.03,28.21,12.8,11.25,50.86,27.47,34.64,0.73,1.44,9.77,21.42,50.86,86.93,81.68
18.22,16.87,10.44,23.54,23.82,4.62,9.24,40.54,12.31,18.96,2.24,0.43,4.52,17.86,40.54,64.1,80.27
4.2,13.58,41.33,30.18,6.18,30.71,27.42,53.54,26.82,11.62,1.13,8.42,0.72,24.56,53.54,90.96,79.91
18.6,16.63,1.76,28.39,9.83,8.94,12.7,4.83,15.25,7.61,2.84,1.14,0.75,12.45,28.39,45.64,83.11
30.23,23.02,17.34,13.36,22.49,17.29,41.2,23.44,20.05,13.43,6.06,7.12,3.02,22.19,41.2,74.55,76.27
0.0,23.44,4.36,5.22,35.47,14.76,16.23,21.69,0.81,12.1,0.0,2.4,4.29,13.41,35.47,54.34,86.11
13.69,41.31,23.2,0.68,0.45,9.53,0.9,12.25,9.35,8.89,1.28,0.09,0.04,12.02,41.31,53.3,87.32
9.18,6.81,7.15,12.68,2.23,13.36,10.05,24.01,4.17,7.76,0.38,1.34,0.17,9.74,24.01,35.79,89.93
12.42,19.5,3.34,24.61,14.12,10.25,6.78,9.98,5.09,4.86,0.63,0.69,0.69,11.1,24.61,40.63,85.58
6.13,13.34,10.95,33.48,59.66,36.54,8.42,28.29,2.99,34.45,0.18,3.08,20.55,23.42,59.66,91.75,72.07
4.13,5.93,8.08,7.14,0.05,15.22,4.83,5.77,22.33,40.27,0.92,0.74,0.02,11.38,40.27,50.76,84.73
2.9,3.57,7.12,28.71,25.2,23.67,13.62,22.01,29.19,12.19,0.85,3.22,3.07,16.82,29.19,61.33,80.48
10.67,22.28,30.22,41.44,0.89,0.78,2.44,55.27,12.28,22.81,1.31,0.02,0.2,19.91,55.27,83.51,85.68
0.0,29.26,24.28,11.86,9.77,34.62,0.26,8.76,8.54,1.05,0.0,0.09,0.1,12.84,34.62,55.06,86.42
13.4,24.07,10.23,6.64,20.15,0.49,16.43,32.79,6.73,26.77,0.9,0.08,5.39,15.77,32.79,58.49,84.74
8.39,26.2,5.65,34.44,5.86,12.58,3.07,8.56,22.14,15.08,1.86,0.39,0.88,14.2,34.44,54.48,85.31
20.5,9.22,0.58,21.33,31.58,1.05,27.59,3.86,30.29,2.66,6.21,0.29,0.84,14.86,31.58,60.49,81.11
8.16,22.64,29.23,28.73,2.27,39.43,40.25,7.3,28.85,26.63,2.35,15.87,0.6,23.35,40.25,83.87,76.44
30.59,6.96,33.44,0.75,3.3,26.32,0.24,44.54,8.33,42.1,2.55,0.06,1.39,19.66,44.54,81.44,78.3
3.94,4.43,13.83,28.88,32.78,9.47,21.52,12.2,32.05,6.03,1.26,2.04,1.98,16.51,32.78,62.45,87.17
1.12,1.23,4.48,17.85,15.71,5.7,6.32,10.79,3.83,25.29,0.04,0.36,3.97,9.23,25.29,37.83,94.68
0.67,34.07,26.03,5.26,2.72,3.8,1.66,3.65,18.19,21.47,0.12,0.06,0.58,11.75,34.07,51.92,91.57
13.15,25.15,8.72,12.39,16.31,5.25,1.24,32.77,18.24,5.76,2.4,0.07,0.94,13.9,32.77,52.63,84.52
9.43,8.98,21.25,23.39,13.15,8.49,18.16,25.09,22.19,18.07,2.09,1.54,2.38,16.82,25.09,56.5,85.24
0.42,5.16,17.81,3.73,20.47,1.99,2.2,39.76,15.25,16.22,0.06,0.04,3.32,12.3,39.76,53.5,88.43
14.49,4.13,13.69,18.25,2.85,3.04,16.38,25.25,22.72,2.13,3.29,0.5,0.06,12.29,25.25,46.81,88.17
25.33,6.49,2.25,2.08,0.41,9.38,0.0,20.78,15.43,2.06,3.91,0.0,0.01,8.42,25.33,38.15,87.34
9.2,15.65,6.28,10.67,9.51,32.37,6.51,49.33,7.56,24.62,0.7,2.11,2.34,17.17,49.33,68.99,80.5
30.45,0.06,25.24,1.41,0.53,13.87,25.27,18.88,0.17,11.98,0.05,3.5,0.06,12.78,30.45,53.83,83.51
44.23,24.85,21.33,52.73,34.53,3.96,18.18,31.93,21.32,27.89,9.43,0.72,9.63,28.09,52.73,97.98,69.95
6.56,0.0,22.72,9.23,0.29,19.91,8.44,8.3,13.66,5.56,0.9,1.68,0.02,9.47,22.72,37.39,89.91
11.45,10.31,5.57,18.35,13.53,10.98,9.06,28.69,25.3,26.97,2.9,0.99,3.65,16.02,28.69,56.4,78.86
21.88,11.29,34.47,26.67,12.47,17.96,6.89,2.31,3.36,1.2,0.74,1.24,0.15,13.85,34.47,55.22,89.53
1.8,13.07,39.2,34.77,4.37,0.28,12.85,24.71,12.8,0.52,0.23,0.04,0.02,14.44,39.2,62.27,88.33
36.91,24.81,24.9,21.95,29.18,16.72,39.06,8.15,15.81,1.52,5.84,6.53,0.44,21.9,39.06,77.82,81.05
30.84,48.99,18.59,6.72,7.75,27.87,35.81,26.55,22.86,23.44,7.05,9.98,1.82,24.94,48.99,87.39,74.61
17.11,12.31,14.28,13.52,40.25,22.11,33.65,43.26,29.33,40.53,5.02,7.44,16.31,26.63,43.26,91.9,69.13
24.53,9.87,10.47,27.48,17.45,2.61,35.46,0.85,11.2,17.69,2.75,0.93,3.09,15.76,35.46,59.77,83.24
6.2,17.47,24.34,14.37,30.13,28.89,5.68,8.37,7.77,3.85,0.48,1.64,1.16,14.71,30.13,55.34,82.28
2.67,2.04,3.81,9.89,22.67,15.82,19.36,29.2,17.93,14.99,0.48,3.06,3.4,13.84,29.2,51.59,87.15
29.65,11.95,21.52,27.11,3.83,12.29,14.44,9.8,5.73,9.42,1.7,1.77,0.36,14.57,29.65,53.03,82.59
6.3,12.37,15.36,9.19,1.91,7.73,13.95,12.61,1.04,4.69,0.07,1.08,0.09,8.52,15.36,30.88,94.11
8.87,13.62,12.46,22.93,8.22,8.86,11.44,32.9,7.66,23.53,0.68,1.01,1.93,15.05,32.9,54.01,83.91
14.64,13.22,6.69,6.85,32.22,4.84,40.48,29.63,0.19,14.39,0.03,1.96,4.64,16.31,40.48,65.31,85.06
2.91,2.71,12.28,6.33,31.25,4.48,28.65,17.09,1.08,32.95,0.03,1.28,10.3,13.97,32.95,58.34,86.3
0.29,32.63,6.78,22.46,19.58,4.72,34.46,9.0,0.0,0.91,0.0,1.63,0.18,13.08,34.46,57.36,87.41
5.37,10.99,38.35,38.76,25.57,33.98,6.22,28.52,11.19,2.86,0.6,2.11,0.73,20.18,38.76,76.92,81.73
16.45,11.47,27.89,14.42,20.91,31.92,37.04,3.32,18.73,3.61,3.08,11.82,0.75,18.58,37.04,67.75,76.81
4.06,25.12,42.48,5.16,19.6,27.44,14.65,27.41,1.08,0.16,0.04,4.02,0.03,16.71,42.48,67.69,84.51
2.05,31.53,23.2,30.02,1.83,3.69,10.69,13.08,4.31,11.58,0.09,0.39,0.21,13.2,31.53,53.79,88.23
27.01,30.15,27.1,8.43,14.6,13.66,17.02,40.71,2.63,37.39,0.71,2.32,5.46,21.87,40.71,78.72,81.49
15.09,36.79,21.99,33.44,12.71,44.16,22.48,29.16,11.69,16.35,1.76,9.93,2.08,24.38,44.16,83.98,80.21
12.25,26.56,7.78,4.98,24.04,12.28,27.51,12.23,0.59,0.75,0.07,3.38,0.18,12.9,27.51,50.76,91.21
50.54,9.51,29.25,38.47,28.45,15.15,4.68,41.82,22.17,51.19,11.2,0.71,14.56,29.12,51.19,104.41,65.94
36.3,1.32,33.08,28.65,36.56,0.54,26.41,29.46,25.23,48.07,9.16,0.14,17.57,26.56,48.07,95.31,70.95
12.42,10.91,9.37,24.75,32.2,29.73,14.62,69.89,1.15,23.8,0.14,4.35,7.66,22.88,69.89,92.52,82.73
31.87,22.77,14.08,21.88,53.06,3.15,16.62,46.6,11.23,5.39,3.58,0.52,2.86,22.66,53.06,87.4,77.1
3.49,3.5,20.17,12.72,11.97,31.18,22.59,13.99,26.4,28.23,0.92,7.04,3.38,17.42,31.18,62.52,82.81
